transaction_id,branch_id,city,amount,transaction_status,transaction_date
TXN882719,CHBR04,Chennai,8546.98,FAILED,2025-05-03
TXN380963,CHBR04,Chennai,1040.61,SUCCESS,2025-05-04
TXN415120,CHBR04,Chennai,175.27,SUCCESS,2025-05-02
TXN621344,CHBR04,Chennai,5513.43,FAILED,2025-05-01
TXN351460,CHBR04,Chennai,8109.4,FAILED,2025-05-04
TXN887180,CHBR04,Chennai,4469.77,FAILED,2025-04-30
TXN985896,CHBR04,Chennai,1285.86,SUCCESS,2025-04-30
TXN463139,CHBR04,Chennai,4742.37,FAILED,2025-05-05
TXN618517,CHBR04,Chennai,2902.32,FAILED,2025-05-05
TXN676324,CHBR04,Chennai,3193.15,SUCCESS,2025-05-03
TXN975490,CHBR04,Chennai,4648.0,FAILED,2025-04-30
TXN764595,CHBR04,Chennai,2137.79,SUCCESS,2025-04-30
TXN240858,CHBR04,Chennai,1374.62,FAILED,2025-05-03
TXN184330,CHBR04,Chennai,9706.02,SUCCESS,2025-05-02
TXN375081,CHBR04,Chennai,8957.34,SUCCESS,2025-05-05
TXN314530,CHBR04,Chennai,6177.12,SUCCESS,2025-05-01
TXN457285,CHBR04,Chennai,1935.05,SUCCESS,2025-05-03
TXN235845,CHBR04,Chennai,5891.49,FAILED,2025-05-03
TXN393389,CHBR04,Chennai,2213.37,FAILED,2025-04-30
TXN859405,CHBR04,Chennai,4465.52,SUCCESS,2025-05-02
