transaction_id,branch_id,city,amount,transaction_status,transaction_date
TXN824734,DEBR02,Delhi,8528.26,FAILED,2025-04-30
TXN756518,DEBR02,Delhi,5190.78,FAILED,2025-05-05
TXN186927,DEBR02,Delhi,704.86,SUCCESS,2025-05-01
TXN979397,DEBR02,Delhi,4342.24,SUCCESS,2025-05-02
TXN782668,DEBR02,Delhi,3559.17,SUCCESS,2025-04-30
TXN246312,DEBR02,Delhi,6298.37,SUCCESS,2025-05-03
TXN482263,DEBR02,Delhi,8603.59,SUCCESS,2025-05-04
TXN155877,DEBR02,Delhi,3249.97,FAILED,2025-05-04
TXN839655,DEBR02,Delhi,2244.14,FAILED,2025-05-04
TXN941191,DEBR02,Delhi,6470.45,SUCCESS,2025-05-01
TXN201770,DEBR02,Delhi,2918.94,SUCCESS,2025-05-06
TXN620629,DEBR02,Delhi,6727.4,FAILED,2025-05-04
TXN315914,DEBR02,Delhi,5603.76,FAILED,2025-04-30
TXN561343,DEBR02,Delhi,6824.43,SUCCESS,2025-05-06
TXN310506,DEBR02,Delhi,7620.31,SUCCESS,2025-05-01
TXN115007,DEBR02,Delhi,8436.7,SUCCESS,2025-05-02
TXN984286,DEBR02,Delhi,6746.1,SUCCESS,2025-05-01
TXN944256,DEBR02,Delhi,9615.11,FAILED,2025-05-02
TXN489187,DEBR02,Delhi,9255.31,SUCCESS,2025-05-01
TXN129381,DEBR02,Delhi,8334.4,FAILED,2025-05-03
